Wall time,Step,Before,After
1644411746,1,0.624237001,0.598893166
1644411747,1,0.46467796,0.389273643
1644411747,1,0.348541737,0.366619736
1644411749,1,0.38476944,0.370818913
1644411749,1,0.329777747,0.414010674
1644411749,1,0.337730169,0.416786909
1644411749,1,0.369662166,0.391261339
1644411750,1,0.35444811,0.357145011
1644411750,1,0.391724378,0.30707252
1644411751,1,0.43437767,0.29029575
1644411752,1,0.383000582,0.372872144
1644411753,1,0.311713666,0.371824861
1644411753,1,0.367470801,0.346333504
1644411754,1,0.426213354,0.359478801
1644411755,1,0.340744138,0.274587482
1644411755,1,0.356551617,0.365398794
1644411756,1,0.399420291,0.352150798
1644411759,1,0.333346099,0.389035761
1644411759,1,0.371599168,0.362746656
1644411759,1,0.348294914,0.344386011
1644411759,1,0.331342965,0.342715204
1644411761,1,0.385103196,0.303985775
1644411764,1,0.334940493,0.299469233
1644411764,1,0.327331126,0.349244028
1644411765,1,0.302527457,0.397022247
1644411766,1,0.305577248,0.279515892
1644411766,1,0.38144362,0.356593519
1644411767,1,0.351805627,0.376923174
1644411768,1,0.394012243,0.330683023
1644411770,1,0.259562284,0.33430621
1644411770,1,0.369159579,0.314313442
1644411771,1,0.31102106,0.298989177
1644411771,1,0.299017191,0.282761008
1644411774,1,0.281296939,0.29782626
1644411774,1,0.356320977,0.278887361
1644411776,1,0.332959175,0.332205176
1644411778,1,0.297125399,0.37558338
1644411779,1,0.32617712,0.294527978
1644411779,1,0.265517622,0.308085918
1644411781,1,0.25486061,0.365386546
1644411783,1,0.298315644,0.304009974
1644411783,1,0.313854247,0.301061064
1644411784,1,0.305677146,0.349148393
1644411785,1,0.376684785,0.320802033
1644411786,1,0.269918621,0.257123679
1644411788,1,0.319523007,0.312295735
1644411788,1,0.280780852,0.299049228
1644411790,1,0.292655766,0.320996135
1644411790,1,0.344882309,0.380369544
1644411791,1,0.34424755,0.277098626
1644411792,1,0.253376454,0.315320522
1644411792,1,0.287464708,0.293595791
1644411794,1,0.274150342,0.319887549
1644411794,1,0.312045991,0.297620386
1644411796,1,0.290386885,0.252626628
1644411797,1,0.393469214,0.292783737
1644411799,1,0.285342753,0.243114009
1644411800,1,0.323647261,0.370135218
1644411801,1,0.254194736,0.27381742
1644411802,1,0.282648087,0.233850539
1644411806,1,0.275792629,0.304152697
1644411806,1,0.317875862,0.299250722
1644411806,1,0.235558942,0.246895552
1644411809,1,0.309874684,0.261465162
1644411809,1,0.270464331,0.287024081
1644411810,1,0.249176443,0.273460358
1644411813,1,0.33522585,0.351341695
1644411813,1,0.358573884,0.305745304
1644411814,1,0.291498154,0.24940218
1644411815,1,0.32197091,0.231581867
1644411816,1,0.3233971,0.251543075
1644411817,1,0.278603613,0.246940747
1644411817,1,0.289523363,0.357861221
1644411821,1,0.227899238,0.271416634
1644411822,1,0.271146566,0.339972734
1644411822,1,0.245567784,0.258639902
1644411826,1,0.196633995,0.333413124
1644411826,1,0.245645538,0.266538262
1644411830,1,0.399039477,0.301646382
1644411832,1,0.274326593,0.307012379
1644411833,1,0.316887259,0.249121875
1644411834,1,0.290629178,0.296119273
1644411837,1,0.268890738,0.281687587
1644411839,1,0.253881693,0.216303557
1644411841,1,0.310857534,0.256711632
1644411846,1,0.248028502,0.320227414
1644411847,1,0.246130124,0.2694408
1644411847,1,0.263190299,0.281989425
1644411849,1,0.235768467,0.273835301
1644411849,1,0.260611415,0.249184415
1644411850,1,0.264662206,0.293031722
1644411850,1,0.350029439,0.246968746
1644411856,1,0.29132539,0.324831426
1644411860,1,0.247231379,0.342202723
1644411884,2,0.273602545,0.230879694
1644411885,2,0.303658962,0.251195014
1644411886,2,0.245280206,0.204960212
1644411887,2,0.231204271,0.292901784
1644411888,2,0.225918204,0.232961297
1644411888,2,0.225137115,0.203455701
1644411889,2,0.277868092,0.24448508
1644411889,2,0.191309035,0.352833688
1644411890,2,0.215945676,0.247951999
1644411890,2,0.189052343,0.25327307
1644411891,2,0.253842413,0.321965784
1644411891,2,0.242300659,0.209702194
1644411892,2,0.233619541,0.308065534
1644411892,2,0.243611574,0.215408832
1644411893,2,0.247575164,0.234161839
1644411895,2,0.232316226,0.296496511
1644411895,2,0.264980167,0.32444042
1644411896,2,0.268205941,0.237423509
1644411896,2,0.232113838,0.228064686
1644411900,2,0.208020791,0.230166018
1644411903,2,0.298926264,0.26486671
1644411904,2,0.253002495,0.250399262
1644411904,2,0.235105053,0.242156923
1644411910,2,0.263714582,0.252204627
1644411911,2,0.296789557,0.231206685
1644411911,2,0.325806916,0.219149902
1644411912,2,0.270862788,0.272624254
1644411912,2,0.217472151,0.254774332
1644411913,2,0.315487027,0.264960408
1644411914,2,0.223402098,0.258586764
1644411915,2,0.229969367,0.245457113
1644411915,2,0.267408788,0.261676222
1644411919,2,0.240662977,0.199293017
1644411920,2,0.233995333,0.259020984
1644411920,2,0.20574218,0.218641177
1644411920,2,0.275353074,0.194107413
1644411922,2,0.250717729,0.268336058
1644411923,2,0.237082303,0.224441752
1644411925,2,0.216401741,0.309176087
1644411927,2,0.240038633,0.306063741
1644411929,2,0.265716225,0.253830254
1644411932,2,0.226355627,0.249746636
1644411932,2,0.271086812,0.199937776
1644411933,2,0.231546551,0.269663244
1644411935,2,0.282237679,0.230626017
1644411939,2,0.222126454,0.236597091
1644411939,2,0.236111581,0.192023724
1644411942,2,0.252276152,0.235297516
1644411944,2,0.248415187,0.293903142
1644411945,2,0.211434424,0.213501096
1644411945,2,0.257536471,0.22067976
1644411947,2,0.286188692,0.282724798
1644411948,2,0.297632426,0.209361851
1644411951,2,0.239517361,0.240083009
1644411952,2,0.267557591,0.230018795
1644411956,2,0.225544244,0.234067559
1644411956,2,0.260027379,0.267403334
1644411956,2,0.192276642,0.230484426
1644411958,2,0.216569543,0.230412096
1644411958,2,0.310587883,0.199401721
1644411959,2,0.247637331,0.257466853
1644411960,2,0.229184568,0.250726074
1644411962,2,0.255384326,0.246823668
1644411963,2,0.253574103,0.271687061
1644411964,2,0.211598381,0.218318179
1644411965,2,0.222900957,0.251335055
1644411965,2,0.299777508,0.286426842
1644411966,2,0.233233958,0.264026165
1644411968,2,0.297146291,0.288974345
1644411968,2,0.243880779,0.181579888
1644411968,2,0.237377033,0.224937215
1644411974,2,0.25036028,0.268809736
1644411974,2,0.264208645,0.235883102
1644411977,2,0.291397303,0.286996931
1644411978,2,0.265239447,0.24063164
1644411980,2,0.225338861,0.31576243
1644411982,2,0.274576515,0.199579433
1644411982,2,0.241587266,0.324475557
1644411983,2,0.21387732,0.33071816
1644411984,2,0.263956249,0.243872374
1644411985,2,0.195544422,0.254095703
1644411985,2,0.256561756,0.286807239
1644411986,2,0.313032687,0.267204374
1644411987,2,0.24407497,0.189020187
1644411989,2,0.259078711,0.24945195
1644411989,2,0.198185489,0.265130877
1644411992,2,0.208323985,0.234828264
1644411992,2,0.250165612,0.202968806
1644411992,2,0.227902934,0.267680615
1644411992,2,0.256894857,0.24402529
1644411993,2,0.271740258,0.297574222
1644411993,2,0.215457216,0.270813406
1644411994,2,0.276315093,0.248081744
1644411996,2,0.235906318,0.31964013
1644411998,2,0.226834252,0.263011515
1644411998,2,0.262520671,0.275245965
1644412003,2,0.269494057,0.231087685
1644412003,2,0.263468772,0.256675214
